English,Word Type,Telugu Script,Transliteration
(m.),adjective,Ƿాయ్ĸొ,pyāro
/acār/;,noun,ఖావ్Ĭి,khvāḍi
/adan/;,noun,İేకన్,dēkan
/akal/;,noun,కణిణ్,kaṇṇi
/andāro/;,noun,ĺాజళ్,vājaḷ
/anāḍi/;,adjective,నసలోడ్,nasalḍō
/arrā/,noun,కమĸా,kamarā
/asmān/;,adjective,పకొక్Ĩావ్Ĭొ,pakkocvāḍo
/asmān/;,adjective,జాǷాప్,jāppā
/aṅgoḷō/;,noun,దుముమ్,dummu
/aṭṭaggo/;,noun,హళజాĦి,haḷajāgi
/bagā/;,numeral,హజార్,hajār
/balidān/,noun,భంĬాĸొ,bhaṇḍāro
/ballā/;,noun,ǹగĬాķేర్,bigaḍāyēr
/barci/;,noun,Ǿట,mīṭa
/baḍā/;,verb,మాండ్,māṇḍ
/baḷad/;,noun,ȎాంĬియా,sāṇḍiyā
/baḷgō/;,verb,బĹోర్చఁ,baḷrōcam ̐
/baṅgḍī/;,noun,ĽిĽి,sisi
/baṇā/;,verb,Ȏొİార్,sodār
/bhaḷge/;,noun,Ľీవ్కార్,svīkār
/bhaḷge/;,verb,హుబాడ్,hubāḍ
/bholgā/;,noun,ĺేజ్,vēj
/bhuljāyēr/;,noun,భూలేర్,bhūlēr
/bhuḷi/,noun,మాలంĺేĦి,mālanvēgi
/bimāri/;,noun,ĸోగ్,rōg
/buḍḍi/;,noun,సందుక్,sanduk
/buṅgā/;,noun,బురర్1,burra
/bāyilōg/,noun,ĵాయ్న్,bhyān
/bāḷ/;,verb,భూంజ్,bhūn̄j
/bēḍaṁ/;,noun,ȇĪిళ్,vijhḷi
/bōl/;,verb,లĦా,lagā
/camak/;,noun,డర్,ḍar
/ceddar/;,noun,జంఖాన,jaṅkhāna
/cham̐lā/;,verb,హంకాల్,haṅkāl
/cham̐ri/;,noun,ǷాȎాన్,pāsnā
/chapāyēr/;,noun,Ȁర్,mōr
/chaṇak/;,noun,ĩాంట్,chāṇṭ
/chaṇgo/;,verb,Ǹాట్  పĬొ,phāṭpaḍo
/chām̐tti/;,noun,హీక్,hīk
/chāṇḍi/;,noun,బొమమ్,bomma
/chāṇṭ/;,verb,ĩోĬేద్ĸొ,chōḍdēro
/chēbri/;,noun,రూంĦీల్,rūṅglī
/chōl/;,verb,Ƿొటుట్ కాడ్,poṭṭu kāḍ
/chōḍ/;,noun,Ǹొకట్,phokaṭ
/chōḍ/;,verb,ǵకాళ్  İేర్,nikāḷdēr
/chōḍēr/;,noun,İెĲాకేర్,denākēr
/cikṇō/;,noun,Įేల్,tēl
/cikṇō/;,adjective,ĩోĬేǵ,chōḍēni
/cilla/;,noun,బేడం,bēḍaṁ
/ciluku/;,noun,Ƿాన్,pān
/copaḍ/;,verb,Ȅంప్,līmp
/cunlēr/;,noun,ĸేణో,rēṇō
/cvāḍ/;,noun,జమాķేర్,jamāyēr
/cāl/;,noun,Ĳాయకీ,nāyakī
/cāvajatrā/;,verb,పుĸోవǰ,purōvajū
/cāvaḷ/;,noun,ıాన్,dhān
/cāyēni/;,adjective,నకామ్,nakām
/cīr/;,verb,Ǹాడ్,phāḍ
/cōṭ/;,noun,లĦా,lagā
/cūro/;,noun,Ƿొటుట్,poṭṭu
/cūyō/;,noun,చూĸొ,cūro
/dalḍā/,noun,ĺేజ్,vēj
/dam̐/;,verb,İేĲాక్,dēnāk
/dari/;,noun,Ƿాళ్ 1,pāḷ
/darśan/;,noun,వĮా,vatā
/dasti/;,noun,Ƿాకిడ్,pākḍi
/davā/;,noun,వస్,vas
/daḷyā/;,noun,మాండ్,māṇḍ
/dham̐yi/;,verb,వİొగ్,vadgo
/dharagiḍiyā/;,noun,ĳేĲా,pēnā
/dharas/;,verb,ధర్  Ľేదఁ,dharsēdam ̐
/dhonākēr/;,noun,ıో,dhō
/dhujṇi/;,noun,ధూజేర్,dhūjēr
/dhān/;,noun,Ȏాళ్,sāḷ
/dok/;,noun,ǹమాĸి,bimāri
/dādā/;,noun,ĲాĲా,nānā
/dāḍi/;,noun,İాĬొ,dāḍo
/dāḍo/;,noun,İీఁȂఁ,dīm̐yōm̐
/dēkan/;,noun,సూటి,sūṭi
/dēnāk/;,verb,İేర్,dēr
/dēś/;,verb,ǷాĹేపర్  హుతర్,pāḷēpar hutar
/dōkēti/;,noun,ĸోగ్,rōg
/dōni/;,noun,లాకడ్,lākaḍ
/dūn/;,noun,Ĳాగర్,nāgar
/gaccap/;,verb,ముంĬోబుĸా,muṇḍōburā
/galamā/;,noun,Ǹాటక్,phāṭak
/galat/;,noun,బలాల్,ballā
/gargi/;,noun,సడ్  జో,saḍjō
/gaḷgo/;,noun,Ƿాణీ,pāṇī
/gaṇti/;,verb,లెకొక్కర్,lekkokar
/gaṇḍigāsēvāḷō/,verb,థమ్,tham
/geṭṭu/;,noun,Ƿాంత్,pānt
/gharēvāḷō/;,noun,ధణి,dhaṇi
/gharēvāḷō/;,noun,ǵĺాĽి,nivāsi
/ghaḍi/;,noun,నĽీబ్,nasīb
/ghaḍiyā/;,noun,సǽయాఁ,samiyām ̐
/ghūs/;,verb,జతన్,jatan
/ghūḍ/;,noun,ఫతంĦి,phataṅgi
/ghūṅgṭō/;,verb,జతన్,jatan
/gilo/;,adjective,నరȀ,naramō
/gilās/;,noun,ĽిĽి,sisi
/ginyā/;,noun,īామ్,ṭhām
/godḍi/;,noun,వĨాణో,vacāṇō
/goḷāvo/;,verb,ıాన్,dhān
/gummi/;,noun,Ħోİామ్,gōdām
/gumsi/;,noun,İొకాన్,dokān
/gumḍi/;,noun,Ĩోట్,cōṭ
/gutta/;,noun,ĺాĬి,vāḍi
/gām/;,noun,ȍార్,ṣār
/gām/;,noun,İీķేర్ బǳత్,dīyērbatti
/gāraḍi/;,noun,నంజర్  బంద్,nan̄jar band
/gāḍ/;,noun,Ĳాక్,nāk
/gāḷ/;,verb,పరగళ్  Ħొ,paragaḷgo
/gāḷā/;,noun,తలుగు,talugu
/gāṇṭ/;,noun,గుంĮేర్,guntēr
/gō/,verb,జో,jō
/gōlam/;,noun,టోటి,ṭōṭi
/gōri/;,noun,మȎాణ్,masāṇ
/gōḷā/;,adjective,ǦĹోȎాణ్,ghōḷōsāṇ
/gūnt/,verb,గూంĮాన్క ేర్,gūntnākēr
/hapte/;,noun,țడ్,hōḍ
/haḍaka/,noun,హĬాక్,haḍkā
/haṭā/;,verb,ȏటో,hāṭō
/hārgo/;,noun,ȏĸోగ్,hārgō
/ilākō/;,noun,Ħెటుట్,geṭṭu
/ilākō/;,verb,Ħాట్  పĬిĦి,gāṭ paḍigi
/inām/;,noun,కానక్ƺ,kānkya
/iḍti/;,noun,Ĩాȃన్,cālni
/jagat/;,noun,జగ్  Ľే,jagsē
/jagati/;,noun,జగత్,jagat
/jagsē/;,noun,తన్,tan
/jaldi/;,verb,İాబ్,dāb
/jamaṇō/;,noun,Ĳాయం,nāyaṁ
/jammi/;,noun,జాగ్,jāg
/jammēdār/;,noun,తĲేĸో,tanērō
/jannāvēti/,noun,ĸేĸొ,rēro
/janāvar/;,noun,Ľింకోస్,siṅkōs
/jatakar/;,noun,శĸిక్,śarik
/jatan/;,verb,ఢఁķకర్,ḍham̐yikar
/jaṇēr/;,verb,İేర్,dēr
/jaṇēr/;,noun,ĳిలల్,pilla
/jhāḍ/,noun,దĺా,davā
/jhāṅkrō/;,adjective,వజాĹో,vajāḷō
/jhāṅkēr/;,noun,ధగ్  ధగ్,dhagdhag
/jhōgoḷ/,noun,హĹోలో,haḷōlō
/jhōḷi/;,noun,ĺేĸి,vēri
/jhūṇḍ/;,noun,మĹావ్,maḷāv
/jhūṇṭ/,noun,ఝూండ్,jhūṇḍ
/jurmāna/;,noun,Ĭాండ్,ḍāṇḍ
/jyādā/;,adjective,ĸాస్,rās
/jyār/;,noun,మకాక్,makkā
/jādakar/;,verb,జాǷాప్కర్,jāppākar
/jāg/;,noun,ధĸిత్,dharti
/jāg/;,verb,Ķేలేర్,mēlēr
/jāg/;,verb,ĳేణ్,pēṇ
/jītēro/;,verb,ǮĮొణ్,jītṇo
/jītṇo/;,verb,ĺేĸాళు,vērāḷu
/jīvḍā/;,verb,మూȂ,mūyō
/jō/;,verb,డగర్  జో,ḍagar jō
/jōr/;,noun,మĽిత్,masti
/jōt/;,verb,లĦాడ్,lagāḍ
/jūnō/;,adjective,బుĬొ,buḍo
/jūnō/;,adjective,భస్  Ħే,bhasgē
/kalap/;,noun,ĵేĹే,bhēḷē
/kam̐/;,verb,పూంచ్,pūn̄c
/karaṇṭ/;,noun,Ĳాయకీ,nāyakī
/kas/;,verb,కాటోట్ కర్,kāṭṭō kar
/kase/,noun,ఘుĦార్,ghugrā
/katrāyikō/;,adjective,ĸాస్,rās
/kaḍi/;,noun,Ħీద్,gīd
/kaḷāl/;,noun,జాత్,jāt
/kaḷāyēro/,noun,సదు,sadu
/kaṇṇi/;,noun,Ħొణ్,goṇ
/kaṭbhand/;,noun,గులామ్,gulām
/kaṭmāḷo/;,noun,ఘర్  బార్,gharbār
/kaṭāḷo/;,noun,ȏఁķ,hām̐yi
/khabar/;,noun,మతలబ్,matalab
/khabar/;,noun,ఖోజ్,khōj
/khabjā/;,verb,ఢఁķకర్,ḍham̐yikar
/khajjurā/;,noun,Įాĸిక్,tārik
/kharāp/;,noun,గలత్,galat
/khatrā/;,noun,చమక్,camak
/khatrā/;,verb,ĺెల,vela
/khaṭlo/;,noun,ĵాĺేటి,bhāvēṭi
/khojhā/;,noun,ఖోజావణీ,khōjāvaṇī
/khoḷēr/;,noun,ఖావ్Ĺేĸొ,khvāḷēro
/khyāl/;,noun,ǵĻాǵ,niśāni
/khālḍi/;,noun,ఖాĹోడ్,khāḷḍō
/khāndāni/;,noun,ĺేల్,vēl
/khānā/;,verb,Ħీస్,gīs
/khātar/;,noun,ıాయ్న్,dhyān
/khāyēr/;,noun,ఖొĸాకి,khorāki
/khāḍ/;,noun,తĹావ్,taḷāv
/khāḷyā/;,noun,రుంĦిళ్,ruṅgḷi
/khēt/;,noun,ĺాĬి,vāḍi
/khīl/;,noun,జోడ్,jōḍ
/khīl/;,noun,ǸోĬా,phōḍā
/khōḍo/;,noun,మంĦాĹో,maṅgāḷō
/khūnd/;,verb,İాబ్,dāb
/kikāṭi/;,noun,భĽేĸొ,bhasēro
/kilāḍi/;,noun,వటాక్రయ్,vaṭkārya
/kirkiṇḍō/;,noun,ఛĳిన్,chapni
/kolḍā/;,noun,కొలాడ్  /kolḍā/  కోలాడ్,kōlḍā
/konorā/;,noun,దĸి,dari
/konorā/;,noun,కోస,kōsa
/korāḍi/;,noun,İాత్  లా,dātlā
/kośāri/;,noun,ĸోగ్,rōg
/kośāri/;,noun,నȃల్,nalli
/koḍci/;,noun,కొĸొచ్,korco
/kudēro/;,verb,కూద్,kūd
/kulā/;,verb,మాంజ్  లఁ,mān̄jlam̐
/kulā/;,noun,ǹగĬాķేర్,bigaḍāyēr
/kulā/;,verb,పటక్  దఁ,paṭak dam ̐
/kun̄ji/;,noun,బురర్1,burra
/kyārā/;,noun,ఖేత్,khēt
/kām/;,noun,ఘĬొజకొ  ȇȎార్,ghaḍojako visrā
/kāndā/;,noun,గర్ దణ్,gardaṇ
/kāndā/;,noun,గర్ దణ్ /gardaṇ/  నȅడ్,naḷḍi
/kāraṭ/;,noun,ǩలుకు,ciluku
/kāvli/;,noun,ఘĬి,ghaḍi
/kāḍ/;,verb,కాణాక్,kāṇāk
/kāḷō/;,adjective,కాĹో  /kāḷō/ మసళ్,masaḷ
/kāṅgsi/;,verb,ĺా,vā
/kāṭēr/;,noun,ఖటిక్,khaṭik
/kāṭēr/;,noun,Ƿాంట,pāṇṭa
/kāṭēr/;,verb,Įోడ్,tōḍ
/kēlēr/;,noun,మావ్జె,mvāje
/kērō/;,noun,హుకుమ్,hukum
/kērō/;,verb,బార్   కేర్,bār kēr
/kīr/;,noun,ȏĸి,hāri
/kīḍā/,noun,కొĻాĸి,kośāri
/kōni/;,verb,ĺేǵ,vēni
/kōsa/;,noun,ఫూంĦి,phūṅgi
/kōtli/,noun,చంǩ,can̄ci
/kūyō/;,noun,ĭాబ్,ḍhāb
/kūṇḍ/;,noun,ȀటొతĹాĺొ,mōṭotaḷāvo
/kūṭ/;,verb,లĦా,lagā
/labbar/;,noun,లుķేĺాĹో,luyēvāḷō
"/lagu,tāṇu/;",noun,సూİో,sūdō
/lagā/;,verb,వజా,vajā
/lagāḍ/;,noun,వజాĹో,vajāḷō
/lvāḷā/;,noun,సతత్,satta
/lā/;,verb,Ȅయా,līyā
/līyā/;,verb,లేలఁ,lēlam̐
/makkā/;,noun,సĸార్,sarrā
/maḷāv/;,noun,Ȏాİిర్,sādri
/maḷāv/;,noun,సంఘం,saṅghaṁ
/mālaṁ/;,verb,వĹాక్ణి,vaḷkāṇi
/māma/;,noun,ǿటాపు,moṭāpu
/māmi/;,noun,Ȏాసు,sāsu
/mān̄jlam̐/;,noun,లూ,lū
/māphikar/;,verb,సమాళ్  లఁ,samāḷlam ̐
/māttēr/;,noun,ముంĬి,muṇḍi
/māṭlā/;,noun,ȏంĬి,hāṇḍi
/mēl/,verb,రĺాన,ravāna
/mōjēr/;,noun,లెకొక్,lekko
/naco/;,verb,Ĵీంచ్,phīn̄c
/nakām/;,noun,పĬావ్,paḍāv
/namaskār/;,verb,పĨార్,pacār
/nan̄jar/;,noun,బొమమ్,bomma
/naramō/;,adjective,ĳింİాయ్,pindyā
/nassaṇ/,noun,లసస్ణ్,lassaṇ
/navgō/;,noun,భĶేĸొ,bhamēro
/niyat/;,noun,హక్,hak
/niśāni/;,verb,వĮా,vatā
/nācēr/;,noun,Ĳాచ్,nāc
/nānkā/;,adjective,ĵోళక్,bhōḷka
/nāpēr/,noun,Ƿాయ్Ĳో,pyānō
/nāra/;,noun,ĺేల్,vēl
/nāyakī/;,noun,Ƿాలన్,pālan
/nāḍa/;,noun,బాజా  బజంǴర్లు,bājā bajantrīlu
/nāḍa/;,noun,బాజా  బజంǴర్లు /bājā bajantrīlu/  bandage  Ƿాటొట్,pāṭṭo
/nāṇki/;,adjective,Ĳాన్  కా,nānkā
/pacār/;,noun,ĵాషణొ,bhāṣaṇo
/pacār/;,verb,బోల్,bōl
/padan/;,verb,ǻంజోడ్,bhin̄jōḍ
/padan/;,verb,ǻంజోడ్  /bhin̄jōḍ/ Ǽన్,bhīn
/pakār/;,noun,బలా,balā
/parbāti/;,noun,సĺాĸో,savārō
/patti/;,noun,మకాక్,makkā
/penār/;,noun,Ƿాయ్Ĳార్,pyānār
/phalcu/;,noun,రస్,ras
/phalcu/;,noun,ఫళ్  చు,phaḷcu
/pharkārō/;,adjective,సూకొ,sūko
/pharkārō/;,adjective,సూకొ  /sūko/ సూక్,sūk
/phulā/;,noun,భూĸియ,bhūriya
/phuṅkār/;,verb,ఫూలేĸో,phūlērō
/phuṭēr/;,noun,ఫూటన్  పĬే,phūṭan paḍē
/phānsi/;,verb,లటక్,laṭak
/phāḍ/;,noun,ȏఁసు,hām̐su
/phāṭēro/;,verb,Ǹోణాక్,phōṇāk
/phēr/;,noun,ȏటో,hāṭō
/piyōṭ/;,noun,ĸిమామ్,rimmā
/piḍi/;,noun,వలాద్,valād
/posaḍ/;,noun,Ƿోట్,pōṭ
/posaḍ/;,noun,Ľీంకిళ్,sīṅkḷi
/poṅkoḍa/;,noun,ǷొంకొĬా,poṅkoḍā
/purā/;,verb,మĲాķేర్,manāyēr
/purāṇō/;,adjective,Ƿాయ్Ĳార్,pyānār
/puṭka/;,noun,ĳెదకĸేర్,pedakarēr
/pyārēr/;,noun,Ƿాయ్ర్ 1,pyār
/pāktī/;,noun,వĬి,vaḍi
/pāḷ/;,noun,Ƿోట్,pōṭ
/pāḷ/;,noun,Ƿోట్  /pōṭ/ ǹంĬా,biṇḍā
/pāḷō/;,verb,Ƿాళ్ 1,pāḷ
/pēṇ/;,adjective,హుఁబర్,hum̐bar
/pēṭ/;,noun,ఫూȃయాȂ,phūliyāyō
/pīḍa/;,noun,బాయ్స్,byās
/pōṭiyā/;,adjective,ǷోĬాగ్,pōḍgā
/pūn̄c/;,verb,బోల్,bōl
/pūro/;,noun,Ȏాĸి,sāri
/pūṭo/;,adjective,Ƿాయ్Ĳార్,pyānār
/raḍāyēr/;,noun,వలటొర్,valaṭro
/ruṅgḷi/;,noun,ĸేల్,rēl
/rēlki/;,noun,Ľేడ్,sēḍ
/rūp/;,verb,ĺాంట్,vāṇṭ
/rūp/;,noun,వణాయ్,vaṇyā
/rūṅglī/;,noun,ȇణ్,viṇ
/sakrā/;,noun,సĶేȅ,samēḷi
/sāri/;,noun,Ľే,sē
/sāri/;,noun,Ľేజ్,sēj
/sāṅkaḍ/;,noun,ȏర్,hār
/sī/;,noun,ĽీĹో,sīḷō
/takḍi/;,verb,బĸోబర్,barōbar
/tarika/;,noun,రూప్,rūp
/taḷ/;,noun,బుĲాİి,bunādi
/taḷāv/;,noun,బంట,baṇṭa
/thamāḍ/;,verb,థమ్,tham
/tānt/;,noun,Ĳార,nāra
/tāv/;,noun,Įావ్  İెకేర్,tāvdekēr
/tōlēr/;,noun,ĵాĸి,bhāri
/tōḍ/;,verb,Įోణాక్,tōṇāk
/tōḍ/;,noun,పుటువ,puṭuva
/ucḷāyēr/;,verb,లాĦొజ్,lāgjo
/ujji/;,conjunction,వǭజ్,vajji
/ukaḷrō/;,verb,ఉకళ్ఁ,ukḷam ̐
/ukḷi/;,noun,Ȏోటా,sōṭā
/umar/;,noun,దం,daṁ
/undā/;,verb,ఠలా,ṭhalā
/valād/;,noun,ĺేల్,vēl
/vaḍi/;,noun,Ȏామ్,sām
/viṇṭrō/;,noun,Ȉంట్,vīṇṭ
/vām̐s/;,verb,సూంగ్,sūṅg
/vāḷ/;,verb,ĺాళద్ఁ,vāḷdam ̐
/vāṭ/;,noun,సడక్,saḍak
/vējā/;,verb,ĺేర్,vēr
/yāṇḍi/;,noun,ĺాయ్ంĬి,vyāṇḍi
/ā/;,verb,ఆĸోచూఁ,ārōcūm ̐
/āc/;,adjective,ĺారుజ్,vāruj
/ādmī/;,noun,మǵకాయ్,manikyā
/ākhar/;,verb,ఖుటాడ్,khuṭāḍ
/ākhar/;,verb,ఖుటాడ్   /khuṭāḍ/  ĩేడ,chēḍa
/āndi/;,adjective,కాణో,kāṇō
/āpti/;,noun,Ĩోట్,cōṭ
/āpti/;,noun,ఖĮార్,khatrā
/āri/;,noun,ఆĸోచూఁ,ārōcūm ̐
/āspās/;,noun,చూట్  Ƿాట్,cūṭpāṭ
/āvajakō/;,adjective,వజకొ,vajako
/āyēr/;,verb,మంĦాķేర్,maṅgāyēr
/āḷi/;,noun,కటామ్Ĺొ,kaṭmāḷo
/āṅgēr/;,adjective,Įోలూచ్ర్,tōlcūr
/āṅk/;,noun,Ħొణ్,goṇ
/ēk/;,adjective,ఏకొల్,ēklo
/īḍ/;,noun,ఉమర్,umar
/ōlḍā/,noun,ĺోలాడ్,vōlḍā
/ōrnayi/;,noun,సబేత్,sabēt
/ōṭ/;,noun,చుĲేల్ర్,cunlēr
/ḍham̐yi/;,adjective,ǷాĮోళ్,pātḷō
/ḍham̐yikar/;,noun,ĸాసులు,rāsulu
/ḍhaṅg/;,noun,తĸిక,tarika
/ḍhāṅkṇi/;,noun,భూĨొన్,bhūcno
/ḍhūṇḍēr/;,verb,ఢూండ్,ḍhūṇḍ
/ḍvāḷi/;,verb,Ǹాంకాఫూట్,phāṅkāphūṭ
/ḍūbgō/;,verb,Ȏాంజ్  పడĦి,sān̄j paḍagi
/ṭhikri/;,noun,తĺావ్,tavvā
/ṭokḍā/;,noun,ĳేడ్,pēḍ
/ṭāṅg/;,verb,ధప్,dhap
/ṭēḷō/;,noun,దకాళ్,dakāḷ
/ṭōkaṇō/;,noun,మాటాల్,māṭlā
/ṭūṇṭō/;,noun,వంĦెద్ǵ,vaṅgdeni
abide,verb,ĺాĮేమా  ĸేర్,vātēmā rēr
ability,verb,జోర్,jōr
able,noun,İేకǯ,dēkaju
above,noun,ఉంచఁ,un̄cam̐
absent,unknown,Ĳాకాల్,nākāl
absorb,verb,ఖింĨాĦొ,khin̄cāgo
abstract,adjective,మాలం  ఛఁజకో,mālaṁ cham ̐jakō
acacia,unknown,tree బొȀమ్Ȇర్ ఝాడ్,bommōḷīr jhāḍ
acceptance,noun,మాĲేర్,mānēr
accession,noun,భĹెగ్,bhaḷge
accident,verb,ఠకక్ర్,ṭhakkar
accidental,adjective,అĨానక్,acānak
accidentally,verb,అĨానక్,acānak
accost,verb,బోల్,bōl
account,unknown,ఖాĮా,khātā
accusing,unknown,someone బదĲామ్ ǷాĬేర్,badanām pāḍēr
acquiring,verb,Ƿాప్  పటేక్ర్,pāp paṭkēr
acre,noun,ఎకర్,ekar
acrid,noun,కుĬి,kuḍi
across,verb,ఆĬో,āḍō
active,adjective,ఛఁప్  కేĽి,cham̐pkēsi
actual,noun,అĽిల్,asli
ad,verb,అĨానక్,acānak
ad,verb,పకాక్,pakkā
ad,verb,ధర్అగĬియా,dharagaḍiyā
ad,verb,లపణ్,lapaṇ
ad,verb,ȎాదĽీద,sādasīda
ad,verb,దĲేక్,dankē
ad,verb,రĮోయ్,ratōy
ad,verb,బĸోబర్,barōbar
ad,verb,సూİో,sūdō
ad,verb,īాలొ,నకామ్
ad,verb,īాలొ /నకామ్   /ṭhālo,nakām
ad,verb,ఫĸాగత్,pharāgat
ad,verb,Ǵ,tī
ad,verb,మాǳ,māti
ad,verb,ఒǳత్ /otti/ ఓĮేత్ǳ,ōttēti
ad,verb,Ľే,sē
ad,verb,ఆĬో  /āḍō/ ఆడప్Ĭేĸొ,āḍpaḍēro
ad,verb,జȃద్,jaldi
ad,verb,Ĩాĺోణ్కన్,cāvṇōkan
ad,verb,మాķ,māyi
ad,verb,ĺేĺాసు,vēvāsu
ad,verb,అǭజ్అĮార్,ajjiatrā
ad,verb,ǵకాణ్,nikāṇ
ad,verb,వĨేచ్Ľి,vaccēsi
ad,verb,లట్  కేĽి,laṭkēsi
ad,verb,జĲాన్జ్,jannāj
ad,verb,గǳ,gati
ad,verb,İికుక్,dikku
ad,verb,ఊంపర్,ūmpar
ad,verb,ఒతత్ఁ /ottam̐/ ఒĮెత్,otte
ad,verb,తర్  Ľెǳ,tarseti
ad,verb,హనుకన్,hanukan
ad,verb,ĺాయ్ĸోజేర్ సమన్క్  /vyārōjērsamnak/  upto brim  Ľీక్,sīk
ad,verb,ĸాస్,rās
ad,verb,కాఁķకనఁ,kām̐yikanam ̐
adamant,adjective,నసలోడ్,nasalḍō
adjacent,adjective,ఢఁķ,ḍham̐yi
adopt,verb,Ħోİేన్ లేలఁ,gōdēn lēlam ̐
adoption,noun,Ħోద్,gōd
adoptive,unknown,mother ǷాȆజకో యాĬి,pāḷījakō yāḍi
advance,noun,బయాĲా,bayānā
advise,unknown,Ħాయ్న్ కఁ,gyān kam ̐
advocate,verb,బķస్  కĸేĸొ,bayiskarēro
aeroplane,noun,హĺాķ,havāyi
affectionate,unknown,child హూఁĽేస్ర్ బేటా,hūm̐ssēr bēṭā
affectionate,noun,Ǿటి ĺాĮే,mīṭi vātē
afraid,verb,చమక్,camak
africa,unknown,continent ఆĴిర్కా ఖండం,āphrikā khaṇḍaṁ
after,adjective,పĨేచ్ర్,paccēr
after,adjective,ఆన్,ān
after,unknown,estimate అంİాజొ İేక్,andājo dēk
after,verb,కన్,kan
afternoon,noun,İొĳెప్ర్,dopper
against,noun,ఆంగఁ,āṅgam ̐
age,noun,ఈడ్,īḍ
agree,unknown,మానల్ఁ,mānlam ̐
agriculture,noun,ķెȎాǽ,yesāmi
alarm,noun,ధǽక్,dhamki
alcohol,noun,Ľీంİి,sīndi
alcoholic,noun,ĳిȂట్,piyōṭ
align,noun,భĹెగ్,bhaḷge
alike,verb,కూబ్  ఆచ్,kūb āc
all,noun,Ľే,sē
alone,noun,ఏకోల్జ్,ēklōj
aloof,verb,ఏకోల్జ్,ēklōj
altogether,verb,Ľే,sē
altruistic,adjective,ఇమాǵ,imāni
always,noun,కనన్,kanna
amnesia,noun,భులాజ్ķేర్,bhuljāyēr
among,verb,ĵాటామా,bhāṭāmā
amulet,noun,మంİొĹాయ్,mandoḷyā
analyse,verb,ȏఁస  ǷాĬేర్,hām̐sa pāḍēr
ancestral,adjective,తంĮాయ్,tantyā
and,conjunction,ఉǭజ్,ujji
anger,noun,ĸీస్,rīs
announce,verb,ఎలాన్  కర్,elānkar
annual,noun,బాĸిమాస్,bārimās
answer,unknown,జĺాబ్,javāb
ant,noun,కీĬి,kīḍi
antelope,noun,ǩǳȃ,citili
anterior,adjective,ధర్అĦిĬియా,dharagiḍiyā
anybody,unknown,కేǳవĮోķ,kētivatōyi
anyone,noun,కుణిǳ,kuṇiti
anything,verb,కుణĽిǳ,kuṇasiti
anytime,verb,కĲాన్ķĮోķ,kannāyitōyi
apology,noun,మాĴికర్,māphikar
apple,unknown,Ľేపు,sēpu
application,verb,రకాడ్,rakāḍ
apply,verb,ĨావజĮార్,cāvajatrā
appoint,verb,రకాడ్,rakāḍ
appreciate,verb,Įాĸిఫ్,tāriph
approach,noun,గలమా,galamā
appropriate,adjective,ĨావజĮార్,cāvajatrā
approximately,verb,ĭైఁ ĭైఁĽి,ḍhaim ̐ ḍhaim ̐si
apricot,unknown,జాంబు,jāmbu
apropos,verb,ĺేĹానఁ,vēḷānam ̐
aquatic,noun,Ƿాణీ,pāṇī
archaic,adjective,Ƿాయ్Ĳార్,pyānār
architect,noun,ĵాంİేĺాĹో,bhāndēvāḷō
aristocrat,noun,ధĸియా,dhariyā
arm,noun,ఖĺొ,khavo
armpit,noun,కాంకో,kāṅkō
army,noun,ĽిǷాķ,sipāyi
arouse,verb,జĦాĺొ,jagāvo
arrange,verb,సదర్,sadar
