serial,english,part_of_speech,meaning,phonetics,banjara_english
524,dab,noun,,kvāḷ,kvaal
525,dads younger brother,noun,,kāka,kaaka
526,damage,verb,,kulā,kulaa
527,damp soil,unknown,,bhīno rēr,bhino rer
528,dance,noun,,nācēr,naacher
529,dancing,noun,,nāc,naach
530,danger,noun,,āpti,aapti
531,danger accident casualty,noun,,khatrā,khatraa
532,darkness,noun,,andāro,andaaro
533,darling,adjective,,pyāri,pyaari
534,dart,noun,,tīr,tir
535,dash,verb,,dharas,dharas
536,dash souse ad,verb,,dankē,danke
537,date,noun,,khajjurā,khajjuraa
538,daub,verb,,copaḍ,chopad
539,daughter,noun,,bēṭi,beti
540,dawn,noun,,parbāti,parbaati
541,day,noun,,dāḍi,daadi
542,daylight,noun,,dīyōm ̐,diyom 
543,daylight sunlight,noun,,jōt,jot
544,death,noun,,margō,margo
545,debilitate,verb,,vaṅgdero kōni,vangdero koni
546,decayed state,noun,,paḍāvpaḍgi,padaavpadgi
547,decent,adjective,,āc,aach
548,decision,noun,,kēlēr,keler
549,declining,noun,,buḍtōjārō,budtojaaro
550,decoration,noun,,sodār,sodaar
551,deep,adjective,,ūṇḍō,undo
552,deep sleep,noun,,gyāri nind,gyaari nind
553,deer,noun,,citili,chitili
554,defeat,noun,,hārgō,haargo
555,defer,verb,,thamāḍ,thamaad
556,deficiency,noun,,ఖోట్,ఖోట్
557,deficiency deficit,noun,,kāḷō,kaalo
558,deficient,adjective,,banābaro,banaabaro
559,degenerate,noun,,banāgatēro,banaagatero
560,delay,noun,,ḍhīlo,dhilo
561,deliver,verb,,jaṇēr,janer
562,deluge,verb,,ḍubāḍnāk,dubaadnaak
563,democratic party,unknown,,prajāsvāmya pārṭi,prajaasvaamya paarti
564,demolish,verb,,kulā,kulaa
565,demonstrate,verb,,puropāḍ,puropaad
566,dense,adjective,,gyārogac,gyaarogach
567,densely ad,verb,,gyārogac,gyaarogach
568,dent,noun,,kāṭ,kaat
569,depart,verb,,margō,margo
570,departure,noun,,calejāyēr,chalejaayer
571,depending,noun,,abādirēr,abaadirer
572,deport,verb,,bhaḍkādīne,bhadkaadine
573,depth,unknown,,uṇḍēmā,undemaa
574,derivation,noun,,hūyēr,huyer
575,derive,verb,,āyēr,aayer
576,descend,verb,,hutar,hutar
577,descendant heir,noun,,vēl,vel
578,describe,verb,,khōḷan kam ̐,kholan kam 
579,desert,noun,,uskyār bīḍ,uskyaar bid
580,desiring,noun,,māṅgēr,maanger
581,detail,verb,,vodōḍ dam ̐,vodod dam 
582,deteriorate,verb,,navasgo,navasgo
583,devastate,verb,,bigaḍāyēr,bigadaayer
584,develop,verb,,baḍāvṇō,badaavno
585,devilish,noun,,pāpi,paapi
586,dew,noun,,bharap,bharap
587,did not go,verb,,gōkoni,gokoni
588,died,verb,,mūyō,muyo
589,difference,noun,,pharak,pharak
590,difficulty,noun,,kaśṭāti,kashtaati
591,dig,verb,,khōd,khod
592,dig a shallow in depth,noun,,puṭikyā,putikyaa
593,digestion,noun,,gaḷērō,galero
594,"digest, get digested",verb,,ḍham̐yikar,dhamyikar
595,dire,noun,,jaldir,jaldir
596,dirt,adjective,,myāl,myaal
597,dirty,adjective,,myāl,myaal
598,dirty hand,unknown,,meḷāḷō hāt,melaalo haat
599,dirty water,unknown,,gadḷo pāṇī,gadlo paani
600,disability,noun,,ṭūṇṭō,tunto
601,disarrange,noun,,bhēḷbhāḷ,bhelbhaal
602,discern,verb,,ḍhūṇḍ,dhund
603,disciple,noun,,cēḷā,chelaa
604,discipline,noun,,ḍhaṅgēti,dhangeti
605,disclose,verb,,kērō,kero
606,discord,verb,,vaṭlo,vatlo
607,disease,noun,,dok,dok
608,disgusting,adjective,,ballā ḍhaṅgēro,ballaa dhangero
609,dish,noun,,rāndēr,raander
610,dishonesty,noun,,bē imāni,be imaani
611,dismantle,adjective,,khulānāk,khulaanaak
612,dispassionate,adjective,,bagar kapaṭēr,bagar kapater
613,dispel,verb,,khō gō,kho go
614,disperse,verb,,bhaḍkāyēr,bhadkaayer
615,dispose,verb,,bagā,bagaa
616,disrespectful,adjective,,banā malādēro,banaa malaadero
617,dissuade,verb,,phēr,pher
618,distance,unknown,,cheṭi,chheti
619,distribute,unknown,,vyāṇṭ,vyaant
620,distribution,noun,,dēmelēr,demeler
621,distrust,noun,,gumān,gumaan
622,disturbance,verb,,chīṇṭ chāṇṭ,chhint chhaant
623,disunited,adjective,,dīvaḍi karnākejakō,divadi karnaakejako
624,divorce,noun,,māmlotōḍēro,maamlotodero
625,divorced person,unknown,,choḍichāḍō,chhodichhaado
626,do,verb,,kar,kar
627,do jumble,unknown,,attar pattar kar,attar pattar kar
628,do the damage,verb,,kharāp,kharaap
629,doctrine,noun,,jāt,jaat
630,dog,noun,,kotrā,kotraa
631,donkey,noun,,gaddi,gaddi
632,donor pro,noun,,dēvāḷō,devaalo
633,dont end,verb,,purokarmat,purokarmat
634,door,noun,,kavāḍi,kavaadi
635,doorbell,noun,,kasāpṭi,kasaapti
636,doorway,noun,,kaḍpā,kadpaa
637,douse,verb,,olā,olaa
638,downfall,noun,,būḍgo,budgo
639,drama,noun,,nāṭak,naatak
640,draw,noun,,khānā,khaanaa
641,dream,noun,,sapanō,sapano
642,dreary,adjective,,rāndīmā cham ̐,raandimaa chham 
643,drench,verb,,gāḷ,gaal
644,dried,verb,,pharkārō,pharkaaro
645,dried big round tablets made,unknown,,chaṇa,chhana
646,dried in sunlight,unknown,,taḍkēmā sukān,tadkemaa sukaan
647,drift,noun,,jōrti,jorti
648,drill,noun,,barma,barma
649,drink,verb,,pi,pi
650,drive,verb,,cham̐lā,chhamlaa
651,drooping eyelids,noun,,mōṭē bhammrā,mote bhammraa
652,drop,noun,,chāṇṭ,chhaant
653,droppings,noun,,gōbar,gobar
654,drowned,unknown,,ḍūbgi,dubgi
655,drum,noun,,naṅgārā,nangaaraa
656,dry,verb,,tāvḍōmārro,taavdomaarro
657,dry under sun,verb,,sūkāyēr,sukaayer
658,dual,adjective,,jōḍi,jodi
659,dumb person,noun,,yāṇḍo manikyā,yaando manikyaa
660,dump,verb,,undā,undaa
661,duration,noun,,geṭṭu,gettu
662,dust,noun,,aṅgoḷō,angolo
663,dust heap,unknown,,vokalḍi,vokaldi
664,dusting,noun,,jhaḍ kār,jhad kaar
665,dwarf,noun,,pōḍgā,podgaa
666,dye,noun,,chōpḍēro,chhopdero
667,dying,verb,,margō,margo
668,dysentery,noun,,pēṭcālēr,petchaaler
669,each,noun,,ēkēk,ekek
670,eagle,noun,,sakrā,sakraa
671,ear,noun,,kān,kaan
672,ear hole,unknown,,kānēr vēj,kaaner vej
673,eardrum,noun,,gubli,gubli
674,earn earns,verb,,kamā,kamaa
675,earring,noun,,kānēr kammal,kaaner kammal
676,earth,noun,,jammi,jammi
677,earwax,noun,,maḷāyi,malaayi
678,east,noun,,laṅkā,lankaa
679,eastward,noun,,heṭāl sām,hetaal saam
680,easy,noun,,hoḷiyānt,holiyaant
681,eat meal,noun,,khāyēr,khaayer
682,eating,noun,,khāyēr,khaayer
683,edge,noun,,konorā,konoraa
684,edible,adjective,,khāyēr,khaayer
685,education,noun,,paḍāyi,padaayi
686,effort,noun,,kōśiś,koshish
687,egg,noun,,iṇḍā,indaa
688,eight,numeral,,āṭ,aat
689,eighteen,numeral,,aṭhāram ̐,athaaram 
690,eighty,noun,,assi,assi
691,elaborate,adjective,,cvāḍō,chvaado
692,elbow,noun,,khūṇi,khuni
693,elder brother,noun,,bhīyā,bhiyaa
694,elder brothers wife,noun,,bhojāyi,bhojaayi
695,elder maternal aunt,noun,,mōṭyāḍi,motyaadi
696,electricity,noun,,karaṇṭ,karant
697,elegant,adjective,,majāti,majaati
698,elephant,noun,,hātti,haatti
699,eleven,numeral,,gyāram ̐,gyaaram 
700,elf,noun,,pōṭiyā,potiyaa
701,eliminate,verb,,nikaḷ,nikal
702,embers from a fire,unknown,,bhōbar,bhobar
703,emergency,noun,,āpti,aapti
704,emigrate,verb,,lād jō,laad jo
705,employer,noun,,bāmmaṇ,baamman
706,empty,noun,,sūn,sun
707,enamel,verb,,vēs pyār,ves pyaar
708,encounters,verb,,khēv,khev
709,end,adjective,,ākhar,aakhar
710,end of the road,unknown,,pilla vāṭ,pilla vaat
711,endless,adjective,,katrāyikō,katraayiko
712,endure,verb,,kham lam ̐,kham lam 
713,enemy,noun,,duśmaṇ,dushman
714,energy,noun,,jōrbār ti,jorbaar ti
715,enervation,unknown,,kamjōr,kamjor
716,engine,noun,,in̄jaṇ,injan
717,England,noun,,iṅglāṇḍ,inglaand
718,English,noun,,iṅglīṣ,inglish
719,enrol,verb,,śarik,sharik
720,enter,verb,,jō,jo
721,entertainment,noun,,khuśāl,khushaal
722,entrance,unknown,,galmā,galmaa
723,enumeration,noun,,lekko,lekko
724,environment,noun,,āspāsemā,aaspaasemaa
725,erase,verb,,lūyēr,luyer
726,eruption,noun,,phuṭēr,phuter
727,escape,verb,,tapā,tapaa
728,established pro,noun,,sthāpit,sthaapit
729,estate,noun,,jāgīr,jaagir
730,eunuch,noun,,bāyalā,baayalaa
731,even ad,verb,,vatōyi,vatoyi
732,even though ad,verb,,tōyi,toyi
733,evening,noun,,sān̄j,saanj
734,eventually ad,verb,,kosān,kosaan
735,every day,noun,,dāḍi,daadi
736,everyone,noun,,sē,se
737,everything,noun,,sē,se
738,evident,verb,,chaṇgo,chhango
739,evil,noun,,dānā,daanaa
740,ewes,noun,,gōrli,gorli
741,exact,adjective,,asli,asli
742,exactly ad,verb,,kharā khaṇḍi,kharaa khandi
743,ad,verb,,barōbar,barobar
744,example,noun,,udāhārār,udaahaaraar
745,exceed,verb,,baḍgo,badgo
746,except,adjective,,rēgojakō,regojako
747,exchange,verb,,phēr,pher
748,exercise,noun,,kasrat,kasrat
749,existing,verb,,chūm̐.,chhum.
750,expand,verb,,jādāphyālēr,jaadaaphyaaler
751,expatriate,verb,,nikāḷdēr,nikaalder
752,expenditure,noun,,kharac,kharach
753,experience,verb,,ḍhūṇḍ,dhund
754,experienced,unknown,,anubhav cham ̐jakō,anubhav chham jako
755,explode,noun,,phuṭēr,phuter
756,extend,verb,,baḍā,badaa
757,extinct ad,verb,,pharāgat,pharaagat
758,extortion,noun,,nakām,nakaam
759,extra,adjective,,jāppā,jaappaa
760,extravagant,noun,,nakām,nakaam
761,extreme,adjective,,asmān,asmaan
762,extricate,verb,,chōḍālējō,chhodaalejo
763,exude,verb,,cuvam ̐,chuvam 
764,ex-husband,unknown,,agḍir gharēvāḷō,agdir gharevaalo
765,ex-wife,unknown,,agḍir ṭāṇḍri,agdir taandri
766,eye,noun,,āṅki,aanki
767,eyelash,noun,,bhamra,bhamra
768,face,verb,,muṇāṅg āyēr,munaang aayer
769,factor,noun,,savāl pūn ̄cēr,savaal pun cher
770,factory,noun,,kārkhānā,kaarkhaanaa
771,fairly ad,verb,,nāyamēti,naayameti
772,falling,unknown,,jhaḍhe,jhadhe
773,falling again,unknown,,undopaḍēr,undopader
774,false belief,noun,,āśa,aasha
775,false talk,noun,,ṭhālivātē,thaalivaate
776,fame,noun,,baḍonām,badonaam
777,family,noun,,āḷi,aali
778,famine,noun,,kāḷō,kaalo
779,fare,noun,,bhāv,bhaav
780,farina,noun,,kaṇki,kanki
781,farm,noun,,gutta,gutta
782,farmer,noun,,jammēdār,jammedaar
783,fast,adjective,,jaldi,jaldi
784,faster ad,verb,,sapkē,sapke
785,fat,noun,,jōr,jor
786,fate,noun,,ghaḍi,ghadi
787,father,noun,,bāp,baap
788,favour,unknown,,āsarō,aasaro
789,fear,verb,,camak,chamak
790,fearless,noun,,himmat,himmat
791,fear terror,noun,,camak,chamak
792,feather,noun,,paṅkōḍār laṭṭā,pankodaar lattaa
793,feathers,noun,,poṅkoḍār laṭṭa,ponkodaar latta
794,feature,noun,,ḍhaṅg,dhang
795,feces,noun,,gū,gu
796,feed,verb,,khorā,khoraa
797,feel,noun,,kēlēr,keler
798,feeling,noun,,dalēti,daleti
799,feeling giddy,unknown,,ghēri pharēr,gheri pharer
800,fellow,noun,,sōpti,sopti
801,female calf,noun,,kelḍī,keldi
802,female cheetah,unknown,,citto,chitto
803,female fox,unknown,,sāḷi,saali
804,female frog,unknown,,miṭki,mitki
805,female goat,unknown,,chēḷī,chheli
806,"female horse, mare",unknown,,ghōḍi,ghodi
807,"female pig, sow",noun,,sūri,suri
808,female slave,noun,,dāsi,daasi
809,"female tiger, tigress",noun,,janāvar,janaavar
810,fence,unknown,,daḍi,dadi
811,fencing,noun,,vāḍ,vaad
812,fenugreek,noun,,metti,metti
813,fertilizer,noun,,davā,davaa
814,fever,noun,,tāv,taav
815,few a good few,noun,,dassēk,dassek
816,fibre,noun,,nāra,naara
817,fiction,noun,,jāṇan,jaanan
818,field,noun,,kyārā,kyaaraa
819,fifteen,numeral,,pandram ̐,pandram 
820,fifty,numeral,,pacās,pachaas
821,figure,verb,,ṭhakul,thakul
822,fill,verb,,bhar,bhar
823,filled,unknown,,bhari,bhari
824,film,noun,,silmā,silmaa
825,filtered,adjective,,chāṇ,chhaan
826,final,adjective,,ākhar,aakhar
827,finance,noun,,pisa,pisa
828,finding,unknown,,lābēr,laaber
829,fingers,noun,,āṅgḷi,aangli
830,finish,verb,,pūr vēgō,pur vego
831,finishing,adjective,,ākhar,aakhar
832,fire,noun,,aṅgār,angaar
833,fire with a gun,unknown,,bandukēti bhāḷēr,banduketi bhaaler
834,firebrand,unknown,,bhobrēr jhārā,bhobrer jhaaraa
835,fires have risen,noun,,hōḷi,holi
836,firewood,unknown,,cūlēr lakḍī,chuler lakdi
837,first,adjective,,dharagaḍiyā,dharagadiyaa
838,first half,unknown,,mūṅgāṇēr ādo,mungaaner aado
839,first husband,unknown,,agḍīr ṭāṇḍēr,agdir taander
840,first name,unknown,,āgḍiyār nām,aagdiyaar naam
841,first one,noun,,agḍīrō,agdiro
842,fish hook,noun,,gaḷ,gal
843,fist,noun,,muṭṭi,mutti
844,fit,verb,,bheḷā,bhelaa
845,fix,verb,,gālḍam ̐,gaaldam 
846,flabby,adjective,,pōlo vēgojako,polo vegojako
847,flag,noun,,jhaṇḍā,jhandaa
848,flat,noun,,kūb āc,kub aach
849,flat nose,unknown,,mukiḍi,mukidi
850,fleck,noun,,talli,talli
851,flesh,noun,,lvāḷā,lvaalaa
852,flexible,adjective,,navam ̐jakō,navam jako
853,flitting,noun,,vaḍgō,vadgo
854,floating,verb,,tarrō,tarro
855,flogging,noun,,mārēr,maarer
856,flood,noun,,khāḷyā,khaalyaa
857,flooded,noun,,kūṭlēgo,kutlego
858,floor,noun,,jammi,jammi
859,flour,noun,,āṭō,aato
860,flower,noun,,phūl,phul
861,flowering,unknown,,lāgē,laage
862,flowing,unknown,,pārrojakō,paarrojako
863,fluttering,verb,,halā,halaa
864,fly,noun,,mākki,maakki
865,flying,unknown,,bamro,bamro
866,fog,noun,,dhūyēr vas,dhuyer vas
867,fold,noun,,dhaḍi,dhadi
868,folk song,adjective,,jānapadaṁ,jaanapadam
869,fondle,verb,,cumajakō,chumajako
870,food,noun,,khāyēr,khaayer
871,foot,noun,,ṭāṅg,taang
872,foot print,noun,,khōj,khoj
873,footprint,noun,,dhap,dhap
874,for ad,verb,,vāsu,vaasu
875,for him pro,noun,,vāsu,vaasu
876,forceps,noun,,cimṭā,chimtaa
877,foreboding,noun,,sammaṇ,samman
878,forefinger,noun,,tagarāyēr āṅgḷi,tagaraayer aangli
879,forehead,noun,,tapāḷō,tapaalo
880,foreign,adjective,,dusro,dusro
881,forever,noun,,ṭhēṭetāṇu,thetetaanu
882,forfeiture,noun,,khōldo,kholdo
883,forgetfulness,noun,,bhūlēr,bhuler
884,forgive,verb,,māphikar,maaphikar
885,form,verb,,vēr,ver
886,forthcoming,adjective,,āvam̐jakō,aavamjako
887,forthright ad,verb,,sūdō,sudo
888,forty,noun,,cāḷis,chaalis
889,forward,verb,,āṅgam ̐,aangam 
890,fossil,noun,,bhāṭār murat,bhaataar murat
891,founder,noun,,bhandāyōjakō,bhandaayojako
892,fountain,noun,,ūṭa,uta
893,foursome,noun,,cāri,chaari
894,fourteen,numeral,,caudam ̐,chaudam 
895,fourth part,unknown,,cār,chaar
896,fox,noun,,sāḷyā,saalyaa
897,fragile,adjective,,peḍsu,pedsu
898,frame,noun,,girra,girra
899,free,noun,,phokaṭ,phokat
900,free from bondage,noun,,svatantraṁ,svatantram
901,freely ad,verb,,ājādi,aajaadi
902,fresh,adjective,,taḍtēr,tadter
903,friction,noun,,ghasāri,ghasaari
904,from ad,verb,,attēti,atteti
905,from now,unknown,,abbēti,abbeti
906,from that,unknown,,ōmāti,omaati
907,from the front,unknown,,āṅgēti,aangeti
908,from there ad,verb,,otti,otti
909,frost,noun,,baram ̐pēr,baram per
910,fruit,noun,,phaḷ,phal
911,fuel,noun,,tēl,tel
912,full,noun,,pūro,puro
913,fullness,noun,,sāri,saari
914,fully ad,verb,,bharpūr,bharpur
915,fur,noun,,ūn,un
916,gaffer,noun,,ḍōkrā,dokraa
917,gain,noun,,phāyēdo,phaayedo
918,gambling with cock fighting,unknown,,kukkaḍ bāttu,kukkad baattu
919,gang,noun,,jaṭṭi,jatti
920,Ganges river,unknown,,gaṅgā nandi,gangaa nandi
921,gap,noun,,māyi,maayi
922,gargle,verb,,kalḍōnāk,kaldonaak
923,garlic,unknown,,nassaṇ,nassan
924,gas,noun,,vāḷ,vaal
925,gash,verb,,gīs,gis
926,gate,noun,,galamā,galamaa
927,gateway,noun,,mōṭvāṭ,motvaat
928,gather,verb,,ḍhūṇḍ lā,dhund laa
929,gathering,noun,,maḷāv,malaav
930,genealogy,noun,,piḍi,pidi
931,generate,verb,,jaṇāvam ̐,janaavam 
932,genetic,noun,,piḍi,pidi
933,get,verb,,lā,laa
934,get near,noun,,ḍham̐yikar,dhamyikar
935,get up,verb,,ūṭ,ut
936,getting,noun,,lā,laa
937,getting finished,unknown,,pūr vēgō,pur vego
938,getting for oneself,noun,,lēlen ā,lelen aa
939,getting irritated,unknown,,cidra karēr,chidra karer
940,getting relieved,unknown,,chūṭ gō,chhut go
941,getting up one,noun,,ūṭēr,uter
942,getting worried,verb,,hin̄jargō,hinjargo
943,gift,noun,,inām,inaam
944,gill,noun,,jābḍō,jaabdo
945,ginger,noun,,adarak,adarak
946,girlfriend,noun,,sōptaṇ,soptan
947,girlish,adjective,,naramō,naramo
948,give,verb,,dam̐,dam
949,give away,noun,,dēnāk,denaak
950,giver pro,noun,,dēvāḷō,devaalo
951,giving,noun,,dēr,der
952,giving birth,verb,,jaṇēr,janer
953,giving injection,verb,,sūyi mār,suyi maar
954,glass,noun,,gilās,gilaas
955,glass piece,noun,,ārsi,aarsi
956,glisten,verb,,jhāṅkrō,jhaankro
957,glistening,noun,,jhāṅkēr,jhaanker
958,glitter,noun,,jhāṅkēr,jhaanker
959,glittering,unknown,,cam cam,cham cham
960,"glittering, flashing",unknown,,chaṅki,chhanki
961,gloom,noun,,vicār,vichaar
962,glow,noun,,vajāḷō,vajaalo
963,go,unknown,,gō,go
964,go to toilet,unknown,,hāṅg,haang
965,Godavari,unknown,,gōdāvari nandi,godaavari nandi
966,Gods place temple,unknown,,church,chhurchh
967,goggling,unknown,,khōṅkḷēr,khonkler
968,going on a fast run,unknown,,dhām̐s,dhaams
969,gold,noun,,sōnō,sono
970,good,adjective,,ācco,aachcho
971,good one,noun,,sorēr,sorer
972,good words,unknown,,āccīvātē,aachchivaate
973,goody ad,verb,,āc,aach
974,"gore, pierce",unknown,,ṭān̄cēro,taanchero
975,got a divorse,unknown,,ṭūṭgijako,tutgijako
976,got absorbed,verb,,suntāgo,suntaago
977,got bulged,noun,,āpriyāyo,aapriyaayo
978,got cooked,verb,,sījgo,sijgo
979,got sprouted,verb,,hūgō,hugo
980,got swelling,noun,,sūjgō,sujgo
981,gourd,noun,,tummḍi,tummdi
982,governance,noun,,nāyakī,naayaki
983,government,noun,,sarkār,sarkaar
984,grab,verb,,khōslam ̐,khoslam 
985,grain,unknown,,dāṇā,daanaa
986,grand daughter,noun,,pōti,poti
987,grandfather,noun,,dādā,daadaa
988,grandfathers grandfather,noun,,paḍ dādā,pad daadaa
989,grandmother,unknown,,nāni,naani
990,grandparent,noun,,dādā,daadaa
991,grape,noun,,aṅgūr,angur
992,grass,unknown,,khaḍ,khad
993,grasshopper,noun,,tīḍkā,tidkaa
994,grate ad,verb,,curo curo,churo churo
995,gravel,noun,,kaṅkara,kankara
996,gravy,noun,,rābḍi,raabdi
997,graze,verb,,carā,charaa
998,grazing,verb,,carēr,charer
999,grease,noun,,cikṇō,chikno
1000,great,adjective,,baḍi ācco,badi aachcho
1001,greedy,adjective,,khāvumīt,khaavumit
1002,green vegetable,noun,,gōl,gol
1003,greet,noun,,namaskār,namaskaar
1004,grind,verb,,rūp,rup
1005,ground pepper,adjective,,kāḷi marcē,kaali marche
1006,ground land,noun,,jāg,jaag
1007,group,unknown,,jhūṇṭ,jhunt
1008,group of animals,unknown,,khāḍu,khaadu
1009,grouse,noun,,gunasrō,gunasro
1010,grow,noun,,dham̐yi,dhamyi
1011,growth,noun,,vadrō,vadro
1012,guard,noun,,kāvli,kaavli
1013,guava tree,noun,,nāraṅgīr jhāḍ,naarangir jhaad
1014,gum,noun,,gūnd,gund
1015,hair,noun,,laṭṭā,lattaa
1016,half way,unknown,,ād vāṭ,aad vaat
1017,halt,noun,,ṭhakāṇo,thakaano
1018,halve,noun,,ādo,aado
1019,hammer,noun,,hātōḍ,haatod
1020,hand,noun,,hāt,haat
1021,hand over,unknown,,pun̄cāḍ,punchaad
1022,hand printing,unknown,,chopaḍdam ̐,chhopaddam 
1023,handcuffs,noun,,hātkaḍi,haatkadi
1024,handkerchief,noun,,dasti,dasti
1025,handle,noun,,piḍi,pidi
1026,hang,noun,,phānsi,phaansi
1027,hangover for drinking alcohol,unknown,,nisār,nisaar
1028,haphazardly,unknown,,kum̐vajum ̐,kumvajum 
1029,happen ad,verb,,ṭūṭpaḍēr,tutpader
1030,hardly ad,verb,,kalḍoṭhaṇṭ,kaldothant
1031,harmonize,verb,,san̄jāyēr,sanjaayer
1032,harness,adjective,,umparēr,umparer
1033,harrow,noun,,gūṇṭkā,guntkaa
1034,hart,noun,,citala,chitala
1035,harvest,noun,,kāṭēr,kaater
1036,hatch,verb,,sēvrīcham ̐,sevrichham 
1037,hatred,noun,,rīs,ris
1038,haunt,noun,,cintāṇi,chintaani
