serial,english,part_of_speech,meaning,phonetics,banjara_english
1039,having a yellowish colour ad,verb,,pīḷōjarat,pilojarat
1040,having character,noun,,ācco goṇ,aachcho gon
1041,having illegal relations,unknown,,haḷgī,halgi
1042,having muscles,unknown,,mām̐s bharo,maams bharo
1043,having no way out,unknown,,vāṭ lābēni,vaat laabeni
1044,having responsibility,adjective,,jimmedāri,jimmedaari
1045,hazard,noun,,khatrā,khatraa
1046,haze,adjective,,andāro,andaaro
1047,he pro,noun,,ī,i
1048,he has come,unknown,,ānpaḍi,aanpadi
1049,he has given,unknown,,dīnō,dino
1050,he is telling,noun,,kērō,kero
1051,he lost,unknown,,khōḷdo,kholdo
1052,head,verb,,baḍjāyēr,badjaayer
1053,head of the family,noun,,mālik,maalik
1054,healthily ad,verb,,jīvēti,jiveti
1055,heap,noun,,ḍham̐yikar,dhamyikar
1056,hear,verb,,sāmaḷ,saamal
1057,heart,noun,,dil,dil
1058,heat ad,verb,,tāto,taato
1059,heavy rain,unknown,,pakkopāṇi,pakkopaani
1060,heavy storm,noun,,pāṇīrvoṅglo,paanirvonglo
1061,hedge cutter,noun,,korāḍi,koraadi
1062,height,noun,,un̄cam̐,uncham
1063,hell,noun,,narakaṁ,narakam
1064,hemming,noun,,an̄cun gāṇṭēr,anchun gaanter
1065,hen,noun,,kukḍi,kukdi
1066,herd,verb,,maḷāv,malaav
1067,hereinafter,noun,,attam̐,attam
1068,hermit,noun,,muni,muni
1069,hernia,noun,,ḍvāḍō,dvaado
1070,hero,verb,,vērāḷu,veraalu
1071,hidden,adjective,,jatan,jatan
1072,hide,verb,,ghūs,ghus
1073,hiding place,unknown,,ghūm̐ serjāg,ghum serjaag
1074,higher caste,unknown,,mōṭjāt,motjaat
1075,highest,unknown,,vun̄cēr,vuncher
1076,hip,noun,,gūlēr haḍaka,guler hadaka
1077,his only,adjective,,ōr,or
1078,history,noun,,carita,charita
1079,history of nature,unknown,,prakr ̥ti caritra,prakr ̥ti charitra
1080,hit,verb,,lagā,lagaa
1081,hold,verb,,chīp,chhip
1082,hole,noun,,vēj,vej
1083,hole making instrument,noun,,barma,barma
1084,holi festival,noun,,hōḷi,holi
1085,holiday,unknown,,chuṭṭi,chhutti
1086,hollow,noun,,bholgā,bholgaa
1087,holster,noun,,pistōlēr can ̄ci,pistoler chan chi
1088,honey,verb,,maṅgālo,mangaalo
1089,hood,noun,,ṭōpi,topi
1090,hook,verb,,lagāḍ,lagaad
1091,horde,noun,,tāṇḍō,taando
1092,horn,noun,,sīṅg,sing
1093,hornet,noun,,ṭāṭiya,taatiya
1094,hospital,noun,,davākhānā,davaakhaanaa
1095,hostile,adjective,,hāṭō,haato
1096,hot blisters from burns,noun,,hōṭphaḷēro,hotphalero
1097,hotly ad,verb,,tāto,taato
1098,house,noun,,ghar,ghar
1099,household,noun,,gharbār,gharbaar
1100,housewife,noun,,gharvāḷi,gharvaali
1101,how pro,noun,,kuṅkan,kunkan
1102,how much pro,noun,,katri,katri
1103,however pro,noun,,pakkā,pakkaa
1104,howl,noun,,kikāṭi,kikaati
1105,hug,noun,,bakḍi,bakdi
1106,humanity,noun,,mānavat,maanavat
1107,humpback,noun,,kūbḍō,kubdo
1108,hunch,noun,,kūbḍō,kubdo
1109,hundred,numeral,,sō,so
1110,hundred times,noun,,sō hapta,so hapta
1111,hunt,noun,,ṣikār,shikaar
1112,hurdle ad,verb,,āḍō,aado
1113,husband,noun,,gharēvāḷō,gharevaalo
1114,husbands younger brother,noun,,dēvar,devar
1115,husk,noun,,pora,pora
1116,hut,noun,,jhūmpḍī,jhumpdi
1117,hysterical,adjective,,avār,avaar
1118,I pro,noun,,mam̐,mam
1119,I am here,verb,,chūm̐.,chhum.
1120,I cannot tolerate it,verb,,samāḷlam ̐,samaallam 
1121,I found out,verb,,mālaṅkarlido,maalankarlido
1122,I gave,verb,,dīnō,dino
1123,I will come,noun,,ārōcūm ̐,aarochum 
1124,i will give,unknown,,dūm̐cu,dumchu
1125,ice pieces falling with rain,unknown,,hailing  n. țĹా,hailing  n. țĺా
1126,idea,noun,,ōḍpu,odpu
1127,if not this,unknown,,ī nam̐tō,i namto
1128,if so ad,verb,,to,to
1129,ignite,verb,,ucḷāyēr,uchlaayer
1130,ignition flame inflammation,noun,,hōḷi,holi
1131,iguana,noun,,gōyi,goyi
1132,ill,noun,,vaṅgdeni,vangdeni
1133,illness,noun,,dōkēti,doketi
1134,illustration,verb,,kaḷā,kalaa
1135,image,noun,,chāṇḍi,chhaandi
1136,imagination,noun,,sapanō,sapano
1137,immediately ad,verb,,jannāj,jannaaj
1138,immensely ad,verb,,jāppā,jaappaa
1139,immersion,noun,,ḍabōḷ,dabol
1140,imminent,adjective,,āvajakō,aavajako
1141,immortal,unknown,,mvāt chēnijako,mvaat chhenijako
1142,immovable,verb,,hamlā,hamlaa
1143,impartial,adjective,,imānēti,imaaneti
1144,implement,unknown,,amal kar,amal kar
1145,impossible,unknown,,vēnijako,venijako
1146,impotence,noun,,bāyalā,baayalaa
1147,impregnate,verb,,dhas,dhas
1148,improbable,adjective,,vēnijako,venijako
1149,improvement,adjective,,baḍēr,bader
1150,impurity,noun,,kalti,kalti
1151,in ad,verb,,māyi,maayi
1152,in detail,unknown,,kaḷān,kalaan
1153,in the dark,noun,,andārēmā,andaaremaa
1154,in the sleep,unknown,,nindēmā,nindemaa
1155,in them pro,noun,,undumā,undumaa
1156,inaccurate,adjective,,jāṇan,jaanan
1157,inadvertently ad,verb,,bhulcuk,bhulchuk
1158,inanimate,adjective,,vaṅgāyēni,vangaayeni
1159,inaudible,adjective,,aṭāyēni,ataayeni
1160,inch,noun,,in̄c,inch
1161,incident,noun,,saṅghaṭan,sanghatan
1162,incompatible,adjective,,jham̐mēni,jhammeni
1163,incomplete,unknown,,huyikoni,huyikoni
1164,independent ad,verb,,ājādi,aajaadi
1165,indigestion,noun,,ajīrti,ajirti
1166,indirectly ad,verb,,parpuṭ,parput
1167,indispensability,noun,,jarūr,jarur
1168,indisposed,adjective,,nārāj,naaraaj
1169,infecting,unknown,,lāggi,laaggi
1170,infinite,adjective,,ḍhōglā,dhoglaa
1171,inflate,verb,,ūmpaṇ,umpan
1172,infuse,verb,,jaṇāvam ̐,janaavam 
1173,inhabitant,noun,,gharēvāḷō,gharevaalo
1174,inhalation,noun,,khyān ̄cēr,khyaan cher
1175,inherit,verb,,āvajakō,aavajako
1176,injury,noun,,gumḍi,gumdi
1177,injustice,noun,,anyāyi,anyaayi
1178,ad,verb,,నకామ్,నకామ్
1179,inner organs,noun,,jīvemār āṅg,jivemaar aang
1180,insatiable,adjective,,āpacnā,aapachnaa
1181,insect,unknown,,kīḍā,kidaa
1182,insert,verb,,dharas,dharas
1183,inside ad,verb,,māyi,maayi
1184,insolence,noun,,garab,garab
1185,inspection,noun,,khvālē,khvaale
1186,instruct,verb,,sīkh,sikh
1187,insure,unknown,,bhīmākar,bhimaakar
1188,insusceptible,adjective,,vaṅgdeni,vangdeni
1189,intelligent person,unknown,,ṅñānēvāḷō,nnaanevaalo
1190,intentionally ad,verb,,cavaṇukan,chavanukan
1191,ad,verb,,cāvṇōkan,chaavnokan
1192,interest,noun,,khātar,khaatar
1193,interest in the job,unknown,,naukaripar vālo,naukaripar vaalo
1194,interior,noun,,chēḍār,chhedaar
1195,interrupt,noun,,āḍoāyēr,aadoaayer
1196,intestine,noun,,āntar,aantar
1197,into the sea,verb,,sandarēmā,sandaremaa
1198,introduce,verb,,parico,paricho
1199,introduction,verb,,mālaṁ,maalam
1200,introductory,adjective,,mālaṁ cham ̐jakō,maalam chham jako
1201,invent,verb,,ḍhūṇḍ,dhund
1202,inverted,adjective,,vaṭlo,vatlo
1203,invite call,verb,,haṅkār,hankaar
1204,involve,noun,,ḍūbgō,dubgo
1205,iron chain to shut the,unknown,,khaḍka,khadka
1206,irritate,verb,,haḍkār,hadkaar
1207,is that you,noun,,tukam ̐?,tukam ?
1208,it goes,verb,,jāri,jaari
1209,it happened,verb,,pūr vēgō,pur vego
1210,it used to be there,unknown,,jannāvēti,jannaaveti
1211,itch,noun,,khāj,khaaj
1212,its pro,noun,,ōr,or
1213,jaundice,noun,,piḷiya,piliya
1214,jaw,noun,,jābḍō,jaabdo
1215,jelly,adjective,,cikṇō,chikno
1216,jenny,unknown,,gaddi,gaddi
1217,jewelery,noun,,gyāṇo,gyaano
1218,jingle,verb,,bōl,bol
1219,job,noun,,naukari,naukari
1220,join,verb,,jatakar,jatakar
1221,joint,noun,,khīl,khil
1222,journey,noun,,daurā,dauraa
1223,juice,noun,,phalcu,phalchu
1224,July,noun,,sātmē mīnā,saatme minaa
1225,jump,noun,,kudēro,kudero
1226,junction,noun,,caurastā,chaurastaa
1227,jungle,noun,,jaṅgal,jangal
1228,just ad,verb,,abhhāl,abhhaal
1229,just escape,unknown,,jarrāmā ḍagargi,jarraamaa dagargi
1230,kerosene,noun,,gāstēl,gaastel
1231,key,noun,,mukhya,mukhya
1232,kick,verb,,mārlō,maarlo
1233,killer,noun,,khūnikhōr,khunikhor
1234,killing,noun,,mārnākēr,maarnaaker
1235,kind of deer,unknown,,jaṅgalēr gōrli,jangaler gorli
1236,kind of fruit,noun,,bōr,bor
1237,kingdom,noun,,rājyaṁ,raajyam
1238,kings palace,noun,,ghaḍ,ghad
1239,kite,noun,,ghūḍ,ghud
1240,kneel,noun,,pagupaḍēr,pagupader
1241,knife,noun,,cham̐ri,chhamri
1242,knitting,unknown,,gūnt,gunt
1243,knot,noun,,gāṇṭ,gaant
1244,know,verb,,mālan ̄cam̐jakō,maalan chamjako
1245,known,adjective,,adōḍcajako,adodchajako
1246,known man,noun,,mālaṁ cham ̐jakō,maalam chham jako
1247,Krishna river,unknown,,kr̥ṣṇā nandi,kr̥shnaa nandi
1248,label,unknown,,kāndār pān,kaandaar paan
1249,labour,noun,,kūli,kuli
1250,lack,noun,,kāḷō,kaalo
1251,ladle,noun,,koḍci,kodchi
1252,lady leader,noun,,nāyakaṇ,naayakan
1253,lake,noun,,kūṇḍ,kund
1254,Lakh,noun,,lāk,laak
1255,lamp,noun,,dīyō,diyo
1256,landowner,noun,,jammēdār,jammedaar
1257,lantern,noun,,dīyō,diyo
1258,lap,noun,,gōdemā,godemaa
1259,large,noun,,pakko,pakko
1260,larger one,unknown,,mōṭ,mot
1261,larva,unknown,,purpūn ̄cyā,purpun chyaa
1262,lass,noun,,navjavāni,navjavaani
1263,last,adjective,,kōsa,kosa
1264,latest,adjective,,navvōnakkōr,navvonakkor
1265,laugh,verb,,hām̐s,haams
1266,law,noun,,dharam,dharam
1267,lawyer,noun,,vakil,vakil
1268,lazy,noun,,ṭāḷā khāro,taalaa khaaro
1269,lead,verb,,cāl,chaal
1270,leafy green,unknown,,harō,haro
1271,leafy vegetable,unknown,,bhājji,bhaajji
1272,leafy vegetables,noun,,bhājji,bhaajji
1273,leak,noun,,gaṇḍi,gandi
1274,leakage,noun,,cūro,churo
1275,lean,adjective,,navgō,navgo
1276,learn,unknown,,sīkh,sikh
1277,leave,verb,,chōḍ,chhod
1278,leave it out,verb,,chōḍ,chhod
1279,leaven,noun,,gāḷēr,gaaler
1280,leaves,noun,,pān,paan
1281,lecture,verb,,pacār,pachaar
1282,ledger,unknown,,gaṇēr vai,ganer vai
1283,left,adjective,,ḍāv,daav
1284,leg,noun,,ṭāṅg,taang
1285,legion,noun,,paṭāḷaṁ,pataalam
1286,leisure,noun,,chūṭvēḷā,chhutvelaa
1287,lengthen prolong,verb,,baḍā,badaa
1288,lens,noun,,ārsi,aarsi
1289,leprosy,unknown,,kuṣṭi,kushti
1290,less ad,verb,,kam,kam
1291,lesser,adjective,,dassēk,dassek
1292,lets go,unknown,,jām̐vam̐,jaamvam
1293,lets jump with happy,verb,,kūdām ̐,kudaam 
1294,letter,noun,,kāraṭ,kaarat
1295,letting it go,noun,,jāyedam ̐,jaayedam 
1296,liberty,noun,,mukti,mukti
1297,lick,noun,,cāṭ,chaat
1298,lid,noun,,bhūcno,bhuchno
1299,lie back on to a,noun,,aḍkēr,adker
1300,life,noun,,umar,umar
1301,life long,unknown,,umar bharo,umar bharo
1302,lift it and show,unknown,,pāḍan dikāḷ,paadan dikaal
1303,lift to carry,verb,,pālḍam ̐,paaldam 
1304,lifting,verb,,vaṭāḍ,vataad
1305,light brown colour,noun,,bhīnoraṅg,bhinorang
1306,light in weight,adjective,,hoḷiphūl,holiphul
1307,like,noun,,sammat,sammat
1308,like that ad,verb,,hanu,hanu
1309,like that only ad,verb,,hanūj,hanuj
1310,like the one which is,adjective,,cham̐,chham
1311,likely,adjective,,vēvāḷ,vevaal
1312,limit,noun,,geṭṭu,gettu
1313,limp,verb,,khoḍā,khodaa
1314,line,noun,,kīr,kir
1315,line of ploughing,noun,,sāl,saal
1316,link,adjective,,bhēḷē,bhele
1317,lion,noun,,janāvar,janaavar
1318,lip,noun,,hōṭ,hot
1319,liquid,noun,,pāṇī,paani
1320,list,noun,,jābitā,jaabitaa
1321,listless,noun,,banā jōrēr,banaa jorer
1322,lit the fire,unknown,,aṅgār ghāl,angaar ghaal
1323,litter,noun,,gāḍi,gaadi
1324,little,adjective,,dassēk,dassek
1325,live,unknown,,jīvaṇi,jivani
1326,lively ad,verb,,jīvēti,jiveti
1327,liver,noun,,koḷjō,koljo
1328,living,noun,,rēro,rero
1329,lizard,noun,,kirkiṇḍō,kirkindo
1330,loan,noun,,bāki,baaki
1331,lock,noun,,kun̄ji,kunji
1332,lodge,noun,,ṭhakāṇo,thakaano
1333,loft,noun,,aṭku,atku
1334,log,noun,,lākaḍ,laakad
1335,log of wood,noun,,lākaḍ,laakad
1336,loneliness,noun,,chyāṇṭ,chhyaant
1337,long ago,adjective,,dharagiḍiyā,dharagidiyaa
1338,long horns,unknown,,mōṭsiṅgēvāḷ,motsingevaal
1339,long pole to propel a,unknown,,paḍavār cāṭṭu,padavaar chaattu
1340,long pole to propel a,noun,,cāṭṭu,chaattu
1341,longings,noun,,vāṭ jō,vaat jo
1342,look,noun,,darśan,darshan
1343,looking seriously,unknown,,kāṭō dekēr,kaato deker
1344,look vision optic,noun,,nan̄jar,nanjar
1345,loose,noun,,pōlo,polo
1346,lose,verb,,hārgo,haargo
1347,losing,noun,,khōdīnō,khodino
1348,losing colour,verb,,phāṭgo,phaatgo
1349,loss,verb,,būḍgo,budgo
1350,lotion,noun,,tēl,tel
1351,loud ad,verb,,jōrti,jorti
1352,louse,noun,,jūm̐,jum
1353,love,verb,,pyār,pyaar
1354,lover f,noun,,pyāri,pyaari
1355,lovers,noun,,pyār,pyaar
1356,low air pressure,unknown,,jhaḍī mārri,jhadi maarri
1357,luck,noun,,nasīb,nasib
1358,lunch,unknown,,śirāvaṇ,shiraavan
1359,lungs,noun,,phyāmpro,phyaampro
1360,lust,noun,,masti,masti
1361,lustre,noun,,vījēkhavēr,vijekhaver
1362,mad,noun,,yāṇḍi,yaandi
1363,madam,noun,,nāyakaṇ,naayakan
1364,made as right,unknown,,samōr kidē,samor kide
1365,madness,noun,,haḍko,hadko
1366,magic,noun,,gāraḍi,gaaradi
1367,main leader,unknown,,mōṭonāyak,motonaayak
1368,main topic,noun,,khās matlab,khaas matlab
1369,maintain,noun,,cāl,chaal
1370,maintenance,noun,,pāḷ,paal
1371,maize,noun,,jyār,jyaar
1372,maize plant,unknown,,jārēr rāḍā,jaarer raadaa
1373,make as bulge,unknown,,āpram ̐ju kar,aapram ju kar
1374,make cold,verb,,valādam ̐,valaadam 
1375,make dirty,noun,,bigaḍāyēr,bigadaayer
1376,make fast,unknown,,chapke,chhapke
1377,make flour,unknown,,āṭō karēr,aato karer
1378,make fun of,noun,,maskari,maskari
1379,make into a soft ball,unknown,,muddakar,muddakar
1380,make loose,verb,,khulānāk,khulaanaak
1381,make mistakes,noun,,ballākar,ballaakar
1382,make smoke,unknown,,dhūm̐kar,dhumkar
1383,make to happen,verb,,sarkā,sarkaa
1384,making a move,noun,,halā,halaa
1385,making a target,unknown,,tākēro,taakero
1386,making a tomb or grave,unknown,,gatbhānt,gatbhaant
1387,making curry,unknown,,loṅgvāṇ karēr,longvaan karer
1388,making excuses,unknown,,baḍān,badaan
1389,"making impure, defiling",noun,,ballākar,ballaakar
1390,making level,unknown,,maṭraṅgi,matrangi
1391,making small movement,noun,,hāl,haal
1392,making someone laugh,verb,,ham̐ssāḍ,hamssaad
1393,making someone tell,verb,,kerā,keraa
1394,making to stuck,verb,,hapkādinō,hapkaadino
1395,"male cat, tomcat",unknown,,bissā,bissaa
1396,male goat,noun,,bakrā,bakraa
1397,"male pig, boar",unknown,,sūr,sur
1398,male slave,noun,,bhakti karevāḷō,bhakti karevaalo
1399,man,noun,,ādmī,aadmi
1400,mandate,noun,,ājṅa,aajna
1401,manger,noun,,gōlam,golam
1402,manner,noun,,ḍhaṅg,dhang
1403,manufactured,adjective,,kidojako,kidojako
1404,manure heap,noun,,okolḍi,okoldi
1405,many too many very,adjective,,asmān,asmaan
1406,map,noun,,paṭāl,pataal
1407,march,noun,,dharam,dharam
1408,mark,noun,,khyāl,khyaal
1409,market,noun,,aṅgaḍi,angadi
1410,maroon,verb,,jōyivam ̐,joyivam 
1411,marriage,noun,,vāyā,vaayaa
1412,marriage ceremony for a couple,noun,,vāyā,vaayaa
1413,married woman,unknown,,nasēṭ,naset
1414,marrow,noun,,min̄ji,minji
1415,marsh,noun,,kicalḍi jāg,kichaldi jaag
1416,martin,noun,,mādērlaṭ,maaderlat
1417,masculine,unknown,,marad,marad
1418,mash,noun,,cūro,churo
1419,mask,noun,,ghūṅgṭō,ghungto
1420,mason,unknown,,sutāri,sutaari
1421,master,noun,,pūjāri,pujaari
1422,mat,noun,,maḷāv,malaav
1423,mate ad,verb,,sāti,saati
1424,material pro,noun,,cīj,chij
1425,maths,unknown,,gaṇiti śāsrtaṁ,ganiti shaasrtam
1426,matrimony,noun,,vāyā,vaayaa
1427,matter,noun,,khabar,khabar
1428,maw,noun,,pēṭ,pet
1429,maybe ad,verb,,vacakāyikō,vachakaayiko
1430,ad,verb,,vēvāsu,vevaasu
1431,meal,noun,,khorāki,khoraaki
1432,meaning,noun,,adōḍ,adod
1433,meaningful,unknown,,samajvajū,samajvaju
1434,meaningless,adjective,,adōḍ chēnijako,adod chhenijako
1435,meaningless talk,noun,,ṭhālivātē,thaalivaate
1436,meanly ad,verb,,kharāp,kharaap
1437,measure,unknown,,nāpēr,naaper
1438,mechanism,noun,,misni,misni
1439,medical treatment,unknown,,ilāj,ilaaj
1440,medicine,unknown,,jhāḍ,jhaad
1441,medicines,noun,,davāyi,davaayi
1442,meet,noun,,bhaḷge,bhalge
1443,men,noun,,ṭāṇḍēr,taander
1444,mental state,unknown,,mangati,mangati
1445,mere,noun,,ekkaj,ekkaj
1446,merge,verb,,ḍobaḷ,dobal
1447,messy at work,unknown,,chīṇṭ chāṇṭ,chhint chhaant
1448,midday,unknown,,khās dopper,khaas dopper
1449,middle,unknown,,vaccēro,vachchero
1450,middle finger,noun,,vaccer āṅgli,vachcher aangli
1451,middle son,unknown,,vacceṭ bēṭā,vachchet betaa
1452,middleman,noun,,vaccēla,vachchela
1453,midnight,noun,,ājrāt,aajraat
1454,might be there,verb,,rēvāsu,revaasu
1455,mighty,adjective,,jāḍo,jaado
1456,migrating,noun,,ladaṇi,ladani
1457,mild,noun,,dassēk,dassek
1458,milk,noun,,dūd,dud
1459,mill,noun,,girni,girni
1460,mind,noun,,akal,akal
1461,mindful,noun,,jāgan,jaagan
1462,mineral,noun,,khanijaṁ,khanijam
1463,mint,noun,,pudīnā,pudinaa
1464,miracle,adjective,,ṭvāḷimārēr,tvaalimaarer
1465,mirror,noun,,ārsi,aarsi
1466,miscellaneous,adjective,,chirlā,chhirlaa
1467,mischief,noun,,gaḍbaḍ,gadbad
1468,mischievous sounds,noun,,sīṇṭi,sinti
1469,misfortune,noun,,bē kismat,be kismat
1470,mishap,noun,,ṭakkar,takkar
1471,mixed with copper colour,unknown,,bhūr raṅgēr,bhur ranger
1472,mixing,noun,,ēkkarēr,ekkarer
1473,mobilize,verb,,ḍham̐yikar,dhamyikar
1474,moment,noun,,ghaḍiyā,ghadiyaa
1475,monetary assets of a country,noun,,rapiyā,rapiyaa
1476,money,noun,,pisa,pisa
1477,money box,unknown,,tijōri,tijori
1478,money under the table,noun,,lān̄c,laanch
1479,monk,noun,,sanyāsi,sanyaasi
1480,monkey,noun,,vāndri,vaandri
1481,mono,adjective,,ekkaj,ekkaj
1482,monster,noun,,dānā,daanaa
1483,month,noun,,mīnā,minaa
1484,monthly,adjective,,mīnāmā,minaamaa
1485,mood ad,verb,,sor,sor
1486,moon,noun,,cānd,chaand
1487,moor,noun,,maidān,maidaan
1488,moral,noun,,niyat,niyat
1489,morass,noun,,kīnc,kinch
1490,more,unknown,,ajji,ajji
1491,more than,adjective,,jādām ̐,jaadaam 
1492,morning,noun,,parbāti,parbaati
1493,mosque,noun,,mīyār dēvaḷ,miyaar deval
1494,mosquito,noun,,māchchar,maachhchhar
1495,moss,noun,,kān̄ji,kaanji
1496,mothers younger sister,noun,,māsi,maasi
1497,motion,noun,,sarkērō,sarkero
1498,motions,noun,,pēṭcālēr,petchaaler
1499,motor,noun,,gāḍi,gaadi
1500,mountain,noun,,pahāḍ,pahaad
1501,moustache,noun,,mūcē,muche
1502,mouthful,adjective,,mūṇḍōbaran,mundobaran
1503,move,verb,,sarkā,sarkaa
1504,move carefully,noun,,aṭakam ̐ḷēti sarak,atakam leti sarak
1505,movement gait pace,noun,,jāyēro,jaayero
1506,much,adjective,,katrāyikō,katraayiko
1507,mud,adjective,,kicalḍo,kichaldo
1508,muddy soil,unknown,,kīn̄cēvāḷ jammi,kinchevaal jammi
1509,muffle,verb,,ḍhāṅk,dhaank
1510,mug,noun,,lōṭa,lota
1511,murder,noun,,mārnākēr,maarnaaker
1512,murderer,noun,,khūnikhōr,khunikhor
1513,murmur,noun,,gun gun karēr,gun gun karer
1514,mushroom,unknown,,gājē,gaaje
1515,music,noun,,gīd,gid
1516,musical instrument,unknown,,saṅgītamēr visrā,sangitamer visraa
1517,Muslim,noun,,miyā,miyaa
1518,mustard,noun,,rām̐yi,raamyi
1519,mute,noun,,gūṅgo,gungo
1520,mutton piece,noun,,ḍaḷi,dali
1521,myna,noun,,garkōli,garkoli
1522,name,noun,,nām,naam
1523,name of a person,unknown,,ādmīr nām,aadmir naam
1524,namesake,unknown,,māṇi māṇi,maani maani
1525,narrow,adjective,,ḍham̐yi,dhamyi
1526,nature,noun,,goṇ,gon
1527,"nature, behaviour",noun,,prakr ̥ti,prakr ̥ti
